arabic,english
بارولي,barolay
رسولوف,rasoulof
كراوسكوبف,krauskopf
فايز,faiez
تيوكسبيري,tewksbury
اويكيتش,ujkic
سيروس,syrus
روغيفين,roggeveen
لاكوتور,lacouture
فوزينها,vozinha
فورونتسوف,vorontsov
ريهن,rehn
كرووي,crowe
بورشبيرج,borschberg
كاترينا,ecaterina
ديمسكي,demski
كيثورن,kethorn
غاملان,gamelin
فلامهارف,flamhaff
رويردان,reordan
زيبس,zepps
مونتالشيني,montalcini
راهال,rahal
جنهياد,juniad
مفلح,mefleh
جولتين,gulten
تايبي,taypi
هاروياما,haruyama
سكوزي,scozzi
فانديرليدي,vanderlyde
فيليامي,viliami
دونسكي,donsky
امبي,impey
ستيت,steit
اوستاكي,eustachi
سيرجيوس,sergius
فادجاتي,vadjati
كوليسنيتشينكو,kolesnichenko
براتي,prati
كابينغا,kabinga
كاراتزيس,karatsis
جوسار,joesaar
دواليه,doualeh
ريبيتش,rebic
بوروسويكز,borusewicz
يشيلتشاي,yesilcay
هوهو,huhu
كابرون,cabron
بحر,bhar
جياسينتو,giacinto
كاربوسيف,karposev
ماكليلان,mcclellan
ليتلوود,littlewood
توبول,topol
سيمبانيدوكو,simbaneduku
ماتشكوفشك,mackovsek
بالمبو,palumbo
سوكاي,sukai
بانياباتاناكول,panyapattanakul
ثولاني,thulani
فيران,ferran
مورجهوليس,morghulis
سوينفورد,swynford
فووا,foua
المقدم,mokaddem
وافليس,waffles
ريزر,reiser
فوكا,fucka
ساربانس,sarbanes
علوش,alloush
ارنز,arens
يربعام,jeroboam
دارين,darin
جريفيثز,griffiths
هيلاري,hilaire
بيرمان,biermann
شيتايي,shitaye
دوريل,durell
فاتاناكا,vathanaka
ليلا,leela
وهران,oran
عثمان,uthman
سيناريس,senaris
البيروني,alberoni
منسوخ,mansukh
ويندي,wendee
كاي,kaye
مولتيني,molteni
ناوي,nawi
ايدسون,eidson
القمي,qumi
البي,alpi
روانغومبوا,rwangombwa
بيشتا,pista
جرافيلير,gravellier
برانزبيث,branspath
لاسكي,lasky
بيندلينغ,pindling
غايفر,guaifer
رادتتشينكو,radtchenko
سايو,sayu
مارغولايس,margolies
تورغوت,turgut
غوتزه,gotze
غونتيكاس,gontikas
فيرينك,ferenc
بالميروس,palmeros
كوتي,kutty
زانات,zhanat
فيكروم,vikrum
ايجي,agee
روسنر,rosner
كوليشيو,colicio
روزا,roosa
فارسافيك,warshaviak
بانزوم,banzom
توبي,tobey
سيل,seal
كابيسكي,capisci
تنوسي,tanusi
فويتيك,voitik
اميتاف,amitav
غواركلارك,gwarklark
فرشاد,farshad
عزيزا,aziza
مونكايو,moncayo
ماركوفيتش,markovich
ستيكيو,steckiw
موغ,moog
ابيلجرين,appelgren
ميكايليان,mikayelian
عبد,abdoe'r
فيبرا,fibra
شيري,cherie
ديبانزو,depanzo
شنيلدرز,snelders
غريغا,grega
مينديلا,mendella
دونلون,donlon
ديب,depp
غوسنباور,gusenbauer
هيلسينغ,hellsing
كاسيراغي,casiraghi
ناغاهاشي,nagahashi
هامبسون,hampson
ديغلمان,degelmann
فيريري,ferreri
كيمينس,kimmins
نابلانوم,naplanum
فيجيتيوس,vegetius
مامون,maumoon
بوش,bosz
كيميدي,kemedi
سيغلو,siglo
لاديتش,ladic
يولاو,yulaw
زوبتشيتش,zubcic
بيلار,baylar
ايكارت,aicart
ساميان,someya
هلوفاتشيك,hlovacek
ارلدج,arledge
سورولس,sorrels
محمود,mahmod
سورسلا,ciorcila
مونتيلا,montella
والنر,wallner
كورنبرغ,kornberg
غرينجر,grainger
وادل,waddle
فيياياراغافان,vijayaraghavan
فلامينيوس,flaminius
راينمار,reinmar
وينشل,winchell
نيروب,nyrup
ماروكين,marroquin
مورفين,morvern
نامارو,namaro
ميندو,mindo
زفونكو,zvonko
كانايب,canipe
اونات,onat
انجليتا,angelita
سيركين,syrkin
خيو,khayu
فهري,fihri
الخادم,hadım
مكريري,mccreary
هيلكروفت,hillcroft
تومزلافا,tomislava
افريكانوس,africanus
سولانكي,solanke
يوشياوكا,yoshioka
ويتن,whitten
مولمان,mollman
شادش,shadish
زاكاري,zachary
فادر,vader
اقينجي,akıncı
لافيتي,lafitte
كيمي,oluwakemi
مووانغا,muwanga
مكدوم,makdum
ايدو,edu
بينوي,benway
اراس,aras
فيلدي,vilde
دارداي,dardai
الاتوري,alatorre
بيتيس,pettis
بونيان,bunyan
ميهتاب,mehtab
فليندر,flender
هيرافوس,leybold
ادنين,adnin
راكل,rakel
مكنيلي,mcneely
واتز,watz
هيسيل,hessel
هرجوفيتش,hrgovic
سوسير,saussure
كاو,kau
واسيلويسكي,wasilewski
ريكي,rikke
فابريزيو,fabrizio
بانتشيف,panchev
سبازي,spazzy
المحيا,muhaya
جيرانس,gerrans
باتشون,pacun
ياللوم,yalom
كامبفيلد,camfield
ياغلي,yeagley
هليفي,halevi
جارين,jarren
كاراسكو,carrasco
هس,hess
هوانج,hwang
مارسيلينا,marcelina
غراتسيا,grazia
روزنستوك,rosenstock
كيلن,killen
اونسينس,oncins
بوجانا,bojana
فاسينو,fassino
موكاديروفا,mukadirova
جيتندرا,jitendra
تووراشي,torashi
كيركتلي,kerkatly
سبانيك,spanic
انابيل,annabell
بييرساك,piersack
باسدو,basedow
سباكمان,spackman
بروتن,braaten
حيدر,haydar
ستافرو,stavrou
غولاش,gołas
كادودال,cadoudal
هامفري,humphry
تشارلز,chali
نوفين,novin
الجزاءري,jazayeri
دوميسينوف,demessinov
شوفان,chauvin
يابي,yapi
ماندي,mandy
سيبولت,seaboldt
جيانيلي,gianelli
بياجي,biagi
مورغنفورمن,morganforman
اتكن,atkin
ماروسكا,maruska
ايزاياه,isaiah
باريل,baril
غاندولفي,gandolfi
دامتوفت,damtoft
يالا,iala
كروغر,kruger
كيتاهارا,kitahara
يونس,yunos
تشيشيرين,chicherin
كلاسون,clason
كيو,kyo
الزمزمي,zemzemi
كريستوفر,chirstopher
ازيليزا,azailiza
بايا,paya
دينكلر,dinkler
فامكي,famke
اولاد,aulad
جونسون,jonson
بيش,bish
لاديس,ladice
امسلم,amsalem
مالكا,malka
شموط,shammout
بوكولو,bokolo
بينادو,peinado
باكوي,bakuwe
يمل,lemuel
سكاغنيتي,scagnetti
فيش,vish
بيريرينها,pereirinha
ريدون,reidun
رافيدوفيتش,rawidowicz
سوجورنر,sojourner
خضير,khudhair
بونوماريوفا,ponomaryova
كسنيروس,cisneros
برايتنجر,breitinger
فوي,foye
ناطر,nater
لازلو,laslo
فوتيني,fotini
سعاد,suad
دوروت,dorot
بوبس,pops
تيني,tiny
ساميتيير,samitier
اولينيك,olynyk
جراسر,grasser
يوسفي,yosefi
فوني,foni
شيبلين,shebalin
سورليني,sorlini
شاندي,chandi
مابيس,mapes
دوكيسا,duchessa
ظل,zillur
جياي,giay
بوتكفيتشيوس,butkevicius
لينين,lenin
تاو,tao
ايوش,ayush
باندرانايكا,bandaranaike
كانتونا,cantona
سيموفيتش,simovic
الويك,alwick
ميمينا,memina
يوبابا,yubaba
ميلوني,melloni
شوغنيسي,shaughnessy
بايارلي,byerly
اركوري,arcuri
ليدو,ledo
كالفرلي,calverley
تشالوفا,chalova
ايسل,eisel
حوني,huni
هيرتسوغ,herzog
كوفري,cufre
بمبرز,bumpers
ديديريك,diederik
كولفورد,colford
ماجقان,mjgan
سيسوانتو,siswanto
كوغين,kogen
دروكير,drucker
خيسترز,heesters
هوفمان,huffman
هافيك,havic
كريميولاك,krimulac
ريميتير,remetter
راتسيهاروفالا,ratsiharovala
بيلوتون,pilloton
بينلو,panelo
كاسبيرسن,kaspersen
ويتنماير,whittenmeyer
فرهابتيغ,warhaftig
ميرضيايف,mirziyoyev
اولد,old
برانتوف,brantov
طلاس,tlass
شاكيلا,shakeela
دياكيتي,diakite
سحر,sehr
موسنغوي,mussongue
بتريوس,petraeus
بوجيرد,boogerd
كورزاوا,kurzawa
هيتشنز,hitchens
برزين,berzin
ميسكيرتشيان,miskirtchian
الجواد,crazy
بيركل,berkel
مولدرس,meulders
راجي,raggi
بتلر,butler
كلايفرت,kluivert
ليوسو,lusso
توفان,thauvin
غولين,gollin
غنانكادجا,gnancadja
بيرنهاردسن,bernhardsen
يوما,yuma
جوسيبا,josipa
غولينه,golineh
هاول,howell
مريدول,mridul
ليخوف,lakhov
داراسيليا,daraselia
داليا,dehlia
اتش,h.c.
كوليبيتوف,kolevatov
لندسبرغ,landsberg
مونيكو,monico
ماكاشوف,makashov
غوريدو,garido
تومني,tomniey
كريستودولوبولوس,christodoulopoulos
اوريوردان,o'riordan
ميسانيبادا,mesannepada
اسكتلندا,scotland
دوزو,dozo
كاسيم,kasem
كايلي,kaylie
حقي,haqqi
شبير,speer
ريغيورا,reguera
لاستوبون,lastupon
فيلفايل,velville
اونسيني,uncini
موجلي,mogli
ميدمنت,maidment
فاسيليس,vasilis
اندريا,andria
كويلمانس,ceulemans
بريلوم,soderblom
فروتوس,frutos
جيفريموفيتش,jevremovic
بوتيوريك,potiorek
تروتمان,trotman
راديفنيكوفيتش,radovnikovic
بايكو,boyko
جاترو,gatro
سزاريا,cesaria
فورسغرين,forsgren
ليبريسكو,librescu
مجيد,madjid
ليسوفسكي,liesowski
اوسمانوفسكي,osmanovski
روكستورم,rockstrom
ديكسيت,dixit
تايانا,taiana
كاماكا,kamaka
هاريرا,herrara
باليندا,balenda
جاسميلا,jasmila
بيرتوكان,birtukan
ساموحا,samuha
ارمبريستر,armbrister
دانهيل,dunhill
مورسم,moorsum
ميناغوتشي,minaguchi
زالوشكا,załuska
باميلمانس,bemelmans
نويشتتر,neustadter
لوسث,løseth
خاشاتريان,khachatrian
سوسكيند,suskind
بيد,pied
غايسير,gajser
رحمان,rahman
كوسينن,kuusinen
تولياجانوفا,tulyaganova
لانغهانز,langhans
سكويب,squibb
بورناما,purnama
الفرخي,farrokhi
مانسيني,mancini
سوسيلو,susilo
مراد,morad
كنيش,knish
كاريزما,charisma
دالان,dallen
ديبلو,diplo
ليفنسون,levinson
ادريانا,adrijana
لفيفر,lefevre
مارتنيه,martinet
دراغونوف,dragunov
لاودر,laudehr
سانتورسكي,santorski
تيليانا,teliana
لينيز,lainez
نوبيا,nubina
كونيف,koneff
ريفي,rifi
بيتلي,petley
كارفر,carver
ريباكوفسكي,rybakovsky
غيديون,gideon
غيث,geth
هايك,hajek
بولمان,bullman
موسمان,mossman
بيرنس,beerens
عبد,abdulreda
اونييوو,onyewu
شهاب,shehab
كالريسيان,calrissian
حيدري,heidari
برونتي,bronte
بازيفامو,bazivamo
سميرنوف,smirnov
ادوميان,adomian
بهكي,bheki
ورش,warasy
الناز,elnaz
عبود,abboud
نيغما,nigma
كيليان,kilian
شامي,schami
غاراتي,garate
لونديل,lundell
رونالدينيو,ronaidinho
رادشنكو,radcenko
نيفي,neve
تينيشا,tinisha
بلوسيك,polasek
دوراسكي,duraschi
فيتاليجا,vitaglia
لاوريتا,lauretta
غيرنسبان,greenspan
هامفريس,humphries
شير,scher
لوينسكو,lonescu
شريعتي,shariati
بينغوتشيا,bengoechea
نوفاك,novak
سلوتسكي,slotsky
دابو,dabo
لوجونس,lugones
اوجونتويي,oguntoye
مدينجر,miedinger
شوجاي,shojaie
نيماني,nimani
راموتار,ramotar
ايماهوري,imahori
بوكانيك,bochenek
دوباف,dubov
زافاروف,zavarov
كارانوس,caranus
لونغو,lungu
عبدي,abdi
حنان,hanan
كاتارينا,katarina
راجو,raju
بينتو,bintu
فلوفلي,flufli
ليشنغ,lisheng
ريكدو,koshi
دومين,dommen
ايكونوميديس,economidis
نيدرمان,niederman
برينغار,brinegar
ستاركوف,starkov
دلارام,delaram
جيد,gide
شاهانا,shahana
مونتيان,muntyan
بانديت,pandit
ويلفورد,wilford
لعلو,laalou
كيلين,keilin
توبسي,topsy
ريسا,rissa
جيفان,jivan
بيرتولوتشي,bartolucci
غيتلن,gitlin
لاست,last
دوبرينين,dobrynin
كوساكو,kosaku
باكين,bakken
ياغونغو,yagongo
غريبي,gharibi
ارمسترونغ,armstrong
نيفس,nefas
اشوف,aschoff
فراغا,fraga
لينكولن,lincoln
كيسلينغ,kissling
الاباي,alapai
بارانجي,berangi
نابابكين,nababkin
جيت,jett
ابراهيم,pargalı
بارماجي,parmaggi
تورو,turow
كوجوكي,koujuki
ماينور,mynar
كايزر,kayser
مارفيس,marvis
فلندرز,flinders
غاد,god
سيماك,siamak
غوتاما,guatama
انكيست,engqvist
نديب,ndip
اديلونغ,adelung
هولكينبورج,xl
ايي,aii
راموري,ramoray
المنيه,alemneh
دراغاس,dragas
بريغل,pregl
فليمينغ,vlemmings
بلات,blatt
هولوب,holup
رويزن,roizen
ابلي,abbley
كيلمر,kelmar
كاسيرتا,caserta
خلفوف,khalafov
ميتشيهيسا,michihisa
ستانيزلاو,estanislau
كوبتسيفا,koptseva
ديغروت,degroot
كوستيكوف,kostikov
شمولك,schmolck
مبامو,mpamo
ماسوزو,masuzo
فاختانغ,vakhtang
بيرتي,bjarte
بياتي,piatti
بورماشينكو,bormashenko
بوريث,borith
كانشادا,kanchada
هوبهاوس,hobhouse
فاكسيلر,vaxilar
تورنيكي,tornike
فالويل,falwell
تافت,taft
بينسي,benci
شاران,sharan
راءق,ra'iq
بيدبالوفا,pidpalova
كاميمارو,kamimaru
تايوو,taiwo
هوفستادر,hofsteader
توريز,torez
هودلستون,huddleston
كيارا,caiera
شاكونتولا,shakuntula
بيرتونسلي,bertoncelli
شفيع,shafi
ارمله,armalet
تتركاني,ttrkane
هيلدمان,heldman
داغان,dagan
مامبي,mambe
بينغهام,bingham
ابادو,appadu
زاودي,zawdy
وعوفير,ofer
هاينكار,heyneker
غلوريا,gloria
ليتسكي,litsky
القرا,karra
نورلين,norlin
ساهل,sahel
فالديراما,valderrama
ديرودر,dereuddre
مونتيسوري,montessori
روزيل,rozelle
كريوس,creus
مينزي,minzi
روسون,rowson
شيجنغ,shigeng
دوفاي,dufay
كيلتوس,kleitos
تاتلين,tatlin
القلال,kallel
بوبلا,bubula
الطارد,tered
ريدوندو,redondo
برنستروم,bernstrom
حرمه,horma
بوته,bute
بيفاريتش,pivaric
سودي,soddy
ميك,myck
سويتنهام,swettenham
داين,dayne
مينهولد,meinhold
غرومفادورينا,gromphadorhina
ديكر,decker
غيفت,gift
تشيريتش,ciric
هاتون,hatton
بهيل,bhil
بلهي,bulleh
هاربيسون,harbeson
سالوبرينيا,salobrena
سوغالسكي,sugalski
خليفه,kalifa
مرا,mra
ابرام,abram
ليجيتي,leggetti
ياسمين,jasmine
هاديات,hadiat
بيستور,pistor
ديغا,dega
امون,meritamun
كاربوف,karpov
انجولي,anjolie
غاريدي,garidi
روسينيور,rosenior
ليبارد,lepard
دعيج,duaij
كنعان,kenaan
اوكادا,okada
مفونغازام,mfungazam
سولبيزيو,sulpizio
سيريو,sejro
ايلان,ilan
فاف,vav
مورسيانو,murciano
كابييرا,cabiera
كالغرين,kallgren
كايدي,caine
كروغ,krogh
الجعايبي,jaibi
كارغودوس,cargodos
باردفيك,baardvik
نغاسونغوا,ngasongwa
نيمتسوفا,nemtsova
دييونتا,deyonta
